Duration (secs),finished,source,location,time,date,agrees to participate,online survey referral,FREE FORM website referral,FREE FORM poster referral,FREE FORM other referral,fam_eat_fish,resp_eat_fish,eats Flathead Catfish,eats Bowfin (Blackfish),eats Blue Catfish,eats Channel Catfish,eats White Catfish,eats American Shad,eats Bluegill,eats Redbreast Sunfish,eats White Crappie,eats Striped Bass,eats Carp,eats Black Crappie,eats Warmouth,eats Green Sunfish,eats Largemouth Bass,eats Redear Sunfish,eats Hickory Shad,FREE FORM other fish,shares fish with others,number of people <15 ,number of fem 15-44,portions in a meal,meals per month,fish use other than eating,FREE FORM other use,cooking methods,FREE FORM cooking,preparation methods,FREE FORM preparation,parts eaten,pollution concerns,FREE FORM pollution concerns,FREE FORM no pollution concerns,sources of information,FREE FORM bait and tackle shops,FREE FORM news sources,FREE FORM internet sources,FREE FORM schools,FREE FORM government sources,FREE FORM sign sources,FREE FORM other sources,FREE FORM best sources,seen fish advisories,fish advisories easy to understand,fish advisories affect decision,FREE FORM affected decision,FREE FORM did not affect decision,health information sources,FREE FORM internet health sources,FREE FORM other health sources,FREE FORM fishing locations,wallet card takeaway,FREE FORM other takeaway,wallet card useful,FREE FORM wallet card useful,FREE FORM wallet card not useful,FREE FORM improve wallet card,can fillet,magnet main message,FREE FORM other takeaway,magnet useful,FREE FORM magnet useful,FREE FORM magnet not useful,FREE FORM improve magnet,would eat fewer polluted fish,would eat more lower pollution fish,would fillet fish,would buy fish from market,would grill or bake rather than fry,would stop eating fish,FREE FORM other risk reduction option,FREE FORM eat less polluted fish,FREE FORM eat more fish with lower pollution,FREE FORM fillet fish,FREE FORM grocery store fish,FREE FORM other cooking methods,FREE FORM stop eating fish,age,gender,educ,language,FREE FORM last comments
378,TRUE,intercept,snows cut,12:00,11/8/20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,TRUE,intercept,Riverside road,4:12,11/8/20,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,TRUE,intercept,river road park,4:30,11/8/20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22221,TRUE,intercept,Lock and dam 1,3:33,11/9/20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,TRUE,intercept,Lock and dam,4:38,4/27/00,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9585,FALSE,intercept,Ld 1,4:30,11/8/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33988,TRUE,intercept,,,,Yes,,,,,Yes,Yes,Off,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,On,On,On,On,,Yes,1 to 3,4 to 6,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,TRUE,intercept,River road,5:19,11/22/20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,TRUE,intercept,Brunswick river,11:20,1/27/03,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4319,FALSE,intercept,Lock and dam 1,11:12,11/24/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,intercept,,,,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18208,TRUE,intercept,Bel I’ll,1:27,1/26/20,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TRUE,intercept,River road,9:00,11/8/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Red drum, spot",Yes,1 to 3,1 to 3,About 2 portions,1-3 meals,Catch and release,,Fried,,"Remove scales,Remove fat,Remove head,Remove fish organs",,"Back Meat,Abdomen Meat,Belly Meat",Yes,People need to stop dumping in the river,,News ,,,,,,,,News and bait shops,Yes,Yes,,,,Internet ,Fishing sites,,,"Some fish may have more contaminants than others,Some fish are safer to eat than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,No,,Probably not fisherman make mind up after catching fish and examining,,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Definitely not do,Definitely will do,Neutral,,"I like it fresh
Don’t eat catfish or bass",,,,,,50-59,Female,"High school diploma, or equivalent (for example, GED)",English,Nice meeting ya
47,TRUE,intercept,Brunswick,3:42,1/28/20,Yes,,,,,Yes,Yes,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"red drum, black drum, spot, speckled trout",Yes,0,0,About 4 portions,1-3 meals,"Catch and release,Other",Give away too,Baked,,"Remove scales,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,"Mercury , sewage ",,"Family or Friends,Other ",,,,,,,Wildlife officer,Seminar with local fishermen. They’d be happy to attend if it’s about water quality or fish. County arboretum. Or county natural resources dept. ,Yes,Yes,,,,Other,,Dept of wildlife resource.  ,Beaches like wrightsville. Kerr. Carolina. ,"Some fish may have more contaminants than others,Other ",Check what your eating ,Yes,,,"Southern kingfish, potentially change name. Not as common neither. ",Yes,,,,,,,Probably will do,Definitely will do,Probably will do,Definitely will do,Definitely will do,Definitely not do,,,,,,,Daniel Boone complex. Getting own food. Self sustainability. ,60 or older,Male,"Some college, no degree",English ,Concerned about sewage in water. 
43,TRUE,intercept,Snows cut ,4:26,12/11/20,Yes,,,,,Yes,Yes,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Black drum, red drum, sheepshead, croaker, blue fish",Yes,0,6 or more,More than 5 portions,More than 9 meals,,,"Grilled,Fried",,"Remove scales,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,Checks but nothing really. Checks for worms,,Other ,,,,,,,Fish Rules,"Tackle shop near Wrightsville beach, tackle shops",Yes,Yes,Yes,Stay away from high mercury fish,,Internet ,,,Fort Fischer. Wrightsville Beach in Bridge. Red man creek by Wilmington ,"Some fish may have more contaminants than others,Some fish are safer to eat than others",,Yes,,,Include size limits ,Yes,,,,,,,Definitely will do,Probably will do,Definitely will do,Definitely not do,Definitely will do,Definitely not do,,,,,,,Close and fresh fish. Want to know the source. ,30-39,Male,"Some college, no degree",English,
31,TRUE,intercept,River road,11:38,1/27/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Red drum, speckled trout, flounder",Yes,0,1 to 3,About 1 portion,1-3 meals,Catch and release,,"Grilled,Other (explain):",Blackened ,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat",Yes,"Fish population are low, hard to reproduce with limited fish. Health effects from chemicals. ",,Other ,,,,,,,Personal knowledge. ,Boat landings. ,Yes,Yes,Yes,"A little bit. Health reasons, good to know what’s In my body ",,Internet ,,,Snows cut ,Pregnant women and women between age 15-44 should not eat fish that may have mercury,,Yes,,,Red drum. ,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Definitely will do,Probably will do,Probably not do,,,,,,,,21-29,Male,"High school diploma, or equivalent (for example, GED)",English ,
41,TRUE,intercept,Snows cut,10:14,1/27/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"speckled trout, black drum, red drum",Yes,1 to 3,1 to 3,About 2 portions,1-3 meals,Catch and release,,"Fried,Other (explain):",Sopa,"Remove scales,Remove head,Remove skin,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat",Yes,La basura contamina el río. Every time I see trash I pick it up,,Signs and Posters ,,,,,,Signs that say don’t leave trash,,"Radio in Spanish, hablar con personas",Yes,Yes,Yes,"Si hay una señal que dice no comer, no lo haria",,Health Clinic,,,,Other ,Por algunos pescados hay que leer avisos antes de comer,No,,When you get your permit you get all that info. Also he doesn’t know the name ps of all the fish,Emphasizing which not to eat,Yes,,,,,,,Probably will do,Probably will do,Neutral,Neutral,Probably will do,Definitely not do,,,,Algunos prefieren freir,,,Only if they’re all contaminated. Some more concerned than others,30-39,Male,"High school diploma, or equivalent (for example, GED)",Español ,Tratar de tener limpio los sitios que uno va a pescar para no tener problema con nadie. Con la ley. Botar basura
48,TRUE,intercept,BeLville park,1:17,1/19/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Red drum, black drum, flounder",Yes,1 to 3,1 to 3,About 2 portions,1-3 meals,Other,Share with friends and family ,"Grilled,Fried,Other (explain):",Blackened ,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat",Yes,"Cancer and health issues. Gen X , coal ash, dead fish kills",,"Other people that are fishing,Other ",,,,,,,Commercial fishermen that are out there alll the time ,Word of mouth ,No,,,,,,,,"Snows cut, wrightsville beach, NC wildlife ramp under bridge ","Some fish may have more contaminants than others,Some fish are safer to eat than others,Other ","Stop and check for contamination, where? ",Yes,,,"Red drum, black drum, flounder ?what about them. ",Yes,,,,,,,Neutral,Probably will do,Definitely will do,Definitely not do,Definitely will do,Probably will do,,,,,Like fresh fish and know where it’s from. And grocery store fish might add chemicals ,,Will stop if he knows what exact pollutions are in here ,50-59,Male,"High school diploma, or equivalent (for example, GED)",English,"When is more research gonna be done? They know these companies are here, and they should be the ones to do it. "
74,TRUE,intercept,river road park,4:30,11/8/20,Yes,,,,,Yes,Yes,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,Yes,0,0,About 3 portions,1-3 meals,,,"Fried,Baked",,"Remove scales,Fillet (only meat with no fat skin or bones)",,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs",Yes,sewage. More salt now cuz its better,,"Internet ,Other ",,,,,,,license vendors,,Yes,Yes,No,,,Other,,news. Like genx,River road st Park and up and down stream,"Some fish may have more contaminants than others,Other ",fish variety,Yes,,,number to wildlife commission,Yes,,,,,,,Definitely will do,Probably will do,Probably will do,Definitely not do,Definitely will do,Definitely not do,,,,,,,been doing it for his whole life ,60 or older,Male,"Some college, no degree",english,
42,TRUE,intercept,River road,11:00,11/8/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,No,,,About 2 portions,4-6 meals,,,Fried,,"Remove scales,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs",No,,No se,News ,,,,,,,,"Televisión y radio. Radio la grande, El patrón",No,,,,,,,,Cure beach,Some fish may have more contaminants than others,,Yes,,,Traducción ,No,"Fish contaminants are stored in their fat,Other",,,,,Traduccion,Definitely will do,Definitely will do,Definitely will do,Neutral,Probably will do,Definitely not do,,,,,,,No because it’s a key part of diet,50-59,Male,Less than high school degree,Español,
53,TRUE,intercept,snows cut,12:00,11/8/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Sheepshead, black drum, red drum, flounder",Yes,0,0,About 3 portions,1-3 meals,Catch and release,,Fried,,"Remove skin,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat",Yes,unsure whats in it...so thats why. Something is wrong with cfr,,"News ,Internet ",,,,,,,,tackle shops. Island bait and tackle. ,Yes,Yes,No,,"doesn't care. Worry about Kids.""Gonna die anyway""","Internet ,Health Clinic",,,"snows cut, Carolina beach inlet","Some fish are safer to eat than others,Other ",website was noticeable. ,No,,Nice but ppl do what they want to do. If he had family he'd be concerned. ,,Yes,,,,,,,Definitely not do,Definitely will do,Definitely will do,Definitely not do,Definitely will do,Definitely not do,,Does not,likes shrimp,,wants them fresh and local,,Wants local fresh fish,60 or older,Male,Bachelor degree,english,would like to know more about the whole deal with CFR
49,TRUE,intercept,Redneck beach,10:45,11/22/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,,Yes,1 to 3,1 to 3,About 2 portions,1-3 meals,Catch and release,,"Grilled,Other (explain):",Almost entirely catch and release,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,Down the river sewage discharge from norchase. Just knowing what’s on the river. A chemical plant producing chromium. Hog farms and chicken farms,,"Family or Friends,Other people that are fishing,Signs and Posters ,Other ",,,,,,,Work,Advisories and information when you get licens,Yes,Yes,Yes,Not very specific but they work,,Other,,Work and learning chrmicals.,,"Some fish are safer to eat than others,Other ",Catfish are bottom feeders,Yes,Especially tourists,,Sponsorship. Discount at cold stone or something,Yes,,,,,,,Probably will do,Probably will do,Probably will do,Probably will do,Probably not do,Probably will do,,,,,,Everybody wants fried catfish nuggets,,40-49,Male,Associate degree,English,Appreciate us doing this and working on this. Anything we can do to reduce pollution.
65,TRUE,intercept,Red near beach,10:30,11/22/20,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,TRUE,intercept,Lock and dam,4:44,11/8/20,Yes,,,,,Yes,Yes,On,Off,On,On,On,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,,Yes,0,1 to 3,About 1 portion,4-6 meals,Catch and release,,"Grilled,Fried,Baked,Steamed,Smoked",,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat",Yes,Plastic and waste goes in.,,Other ,,,,,,,I see it,Through talking to other fishers,Yes,Yes,No,,Do my thing,"Health Clinic,Family/Friends",,,,Other ,Shrimps not a fish. Humans are the cause of the contamination ,,,,Distinguish more between salt fresh and both.,Yes,,,,,,,Definitely not do,Probably not do,Definitely will do,Definitely not do,Definitely not do,Definitely not do,Deep fry the fish to kill bacteria and get rid of contaminant ,,,,Trust myself more than grocery stores ,,,21-29,Male,"High school diploma, or equivalent (for example, GED)",English,You can see the pollution especially plástic and it’s impact on wildlife
161,TRUE,intercept,"Lock and da,",3:33,11/9/20,Yes,,,,,Yes,Yes,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,Yes,0,0,About 2 portions,1-3 meals,Other,Share an old couple,Fried,,"Remove scales,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Tail,Back Meat,Abdomen Meat,Belly Meat",No,,"Close to Wilmington, he’d be concerned (below the international paper plant)",Other people that are fishing,,,,,,,,,Yes,No,No,,,Other,,Stores or someone who works at international paper,Resize map,Pregnant women and women between age 15-44 should not eat fish that may have mercury,,Yes,,,,Yes,,,,,,,Probably will do,Definitely not do,Definitely will do,Probably will do,Probably will do,Probably will do,,,,,,,If it got extreme enough. Feels safe here above chem plant,40-49,Male,"High school diploma, or equivalent (for example, GED)",English,In army
176,TRUE,intercept,Carolina beach SP,12:00,11/9/20,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,TRUE,intercept,river road,4:00,11/8/20,Yes,,,,,Yes,Yes,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"blue fish, black drum",Yes,1 to 3,1 to 3,About 2 portions,1-3 meals,Catch and release,,"Fried,Baked",,Remove fish organs,,"Back Meat,Tail Meat,Abdomen Meat",Yes,pollution in river gets him worried,,"News ,Internet ",,,,,,,,,Yes,Yes,Yes,,,Health Clinic,,,,"Some fish may have more contaminants than others,Some fish are safer to eat than others,Other ",motto. Two different messages . To eat and to catch,No,,not sure,,Yes,,,,,,,Definitely not do,Definitely not do,Neutral,Probably will do,Probably will do,Definitely not do,,,,,,,good and reliable source of food,30-39,Male,Bachelor degree,english,
119,TRUE,intercept,Princess Place,13:00,1/26/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Black drum, red drum, speckled trout",Yes,0,0,About 2 portions,1-3 meals,Other,Share fish with neighbors ,"Grilled,Fried",,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat",Yes,Littering at fishing spots and water ,,Family or Friends,,,,,,,,Tackle shops,Yes,Yes,No,,Picky eater ,"Health Clinic,Family/Friends",,,"Princess Place, Carolina beach st park, snows cut ","Some fish may have more contaminants than others,Some fish are safer to eat than others,Other ",Got Tv news about fish contaminants ,Yes,Easy to remember content,,,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Probably will do,Definitely will do,Probably will do,,,,,,,,30-39,Male,"Some college, no degree",English,
