Duration (secs),finished,source,location,time,date,agrees to participate,online survey referral,FREE FORM website referral,FREE FORM poster referral,FREE FORM other referral,fam_eat_fish,resp_eat_fish,eats Flathead Catfish,eats Bowfin (Blackfish),eats Blue Catfish,eats Channel Catfish,eats White Catfish,eats American Shad,eats Bluegill,eats Redbreast Sunfish,eats White Crappie,eats Striped Bass,eats Carp,eats Black Crappie,eats Warmouth,eats Green Sunfish,eats Largemouth Bass,eats Redear Sunfish,eats Hickory Shad,FREE FORM other fish,shares fish with others,number of people <15 ,number of fem 15-44,portions in a meal,meals per month,fish use other than eating,FREE FORM other use,cooking methods,FREE FORM cooking,preparation methods,FREE FORM preparation,parts eaten,pollution concerns,FREE FORM pollution concerns,FREE FORM no pollution concerns,sources of information,FREE FORM bait and tackle shops,FREE FORM news sources,FREE FORM internet sources,FREE FORM schools,FREE FORM government sources,FREE FORM sign sources,FREE FORM other sources,FREE FORM best sources,seen fish advisories,fish advisories easy to understand,fish advisories affect decision,FREE FORM affected decision,FREE FORM did not affect decision,health information sources,FREE FORM internet health sources,FREE FORM other health sources,FREE FORM fishing locations,wallet card takeaway,FREE FORM other takeaway,wallet card useful,FREE FORM wallet card useful,FREE FORM wallet card not useful,FREE FORM improve wallet card,can fillet,magnet main message,FREE FORM other takeaway,magnet useful,FREE FORM magnet useful,FREE FORM magnet not useful,FREE FORM improve magnet,would eat fewer polluted fish,would eat more lower pollution fish,would fillet fish,would buy fish from market,would grill or bake rather than fry,would stop eating fish,FREE FORM other risk reduction option,FREE FORM eat less polluted fish,FREE FORM eat more fish with lower pollution,FREE FORM fillet fish,FREE FORM grocery store fish,FREE FORM other cooking methods,FREE FORM stop eating fish,age,gender,educ,language,FREE FORM last comments
148,TRUE,intercept,Snows cut,10:44,1/20/20,Yes,,,,,Yes,Yes,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Red drum,Yes,0,1 to 3,About 2 portions,More than 9 meals,Catch and release,,"Fried,Baked",,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,"Don’t know what’s in water. Gasoline, genex",,Other ,,,,,,,Fisherman’s post. Distributed in bait shops and restaurants in the summer,,No,,,,,,,,,"Some fish may have more contaminants than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,No,,If they’re gonna catch fish they’ll eat them,Add size limits and have it responsive to what you can keep,Yes,,,,,,,Probably will do,Probably will do,Neutral,Probably not do,Probably will do,Definitely not do,,,,,,,If the fish are here it free food,30-39,Male,"Some college, no degree",English,Good luck
230,TRUE,intercept,Snows cut,5:23,1/28/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,,Yes,4 to 6,0,About 1 portion,1-3 meals,,,Fried,,Remove scales,,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs,Head",Yes,Que los peces están muriendo,,News ,,Channel 6,,,,,,No idea,No,,,,,,,,,Some fish may have more contaminants than others,,Yes,,,Cual no comer,No,Fish contaminants are stored in their fat,,Yes. Why?,,,Ya está bien,Probably will do,Probably will do,Probably not do,Probably will do,Probably will do,Probably not do,,,,,,,Hay que comer,30-39,Male,"High school diploma, or equivalent (for example, GED)",Español ,Compartir más 
28,TRUE,intercept,Snows cut,3:23,12/11/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Chipre black and white, black drum, red drum",Yes,0,1 to 3,About 3 portions,More than 9 meals,"Catch and release,Other",Compartir,"Stewed,Grilled,Fried,Other (explain):","Ceviche con limon, parrillar con limon, estofado ","Remove scales,Remove head,Remove fish organs,Other (explain):","Limon para evitar bacteria, ","Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs,Head",Yes,"Bacteria, salmonela, but ceviche helps",,News ,,Local channel 26.1. Local tv not cable,,,,,,,No,,,,,,,,,Other ,,Yes,,,Jaiba,Yes,,,,,,,Probably not do,Probably will do,Probably will do,Probably not do,Probably not do,,,"Fish is fish, ",,,Muy caro,Freír es facil,"Es gratis, una manera de relajar",50-59,Male,Less than high school degree,"Español, but his kids speak English ",Me encanto la pesca
69,TRUE,intercept,Belville,,,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Speckled trout, gar, black drum",Yes,1 to 3,1 to 3,About 1 portion,1-3 meals,Catch and release,,"Baked,Other (explain):",Cast iron skillet,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,Back Meat,Yes,Mercury and lead . Fish eating trash and parasites. ,,Internet ,,,Tide table website,,,,,Social media. Bait shops. Word of mouth. Academy. ,Yes,Yes,Yes,Taking no chances. ,,Health Clinic,,,,Some fish are safer to eat than others,,Yes,Yes. Add this to license purchases. ,,Add it to license purchases. ,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Neutral,Neutral,Probably not do,,,,,,,,30-39,Male,"Some college, no degree",English; sometimes korean,
170,TRUE,intercept,River road park,2:29,12/10/20,Yes,,,,,Yes,Yes,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Black drum, red drum, sheepshead, speckled trout, whiting",Yes,1 to 3,1 to 3,About 2 portions,4-6 meals,Catch and release,,"Fried,Steamed,Other (explain):",Broil,"Remove scales,Remove head,Remove fish organs",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,Contamination. Dumping in water. Not just trash,,"Other people that are fishing,News ,Internet ,Other ",,,,,,,Magazines,Bait shops. ,Yes,Yes,Yes,If posted yes,,Health Clinic,,,Belville ,"Some fish may have more contaminants than others,Some fish are safer to eat than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,Yes,,,,Yes,,,,,,,Neutral,Definitely will do,Probably will do,Probably will do,Definitely will do,Probably will do,,,,,,,,60 or older,Female,Associate degree,English ,Fishing is good for you. Relaxing and stress free. 
212,TRUE,intercept,Carolina beach state park,5:00,1/27/03,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Speckled trout, flounder, red drum, black drum",Yes,1 to 3,0,About 1 portion,1-3 meals,Catch and release,,Fried,,"Remove scales,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,Sewage outlet at wrightsville beach. And genex,,News ,,,,,,,,Word of mouth and internet,No,,,,,,,,Curry beach,Other ,I would think they’re all polluted the same,,,,Writing is small,Yes,,,,,,,Probably will do,Probably will do,Probably will do,Neutral,Probably not do,,,,,,,I don’t see what the difference would be,If the news said so,50-59,Male,Associate degree,English,Going further up the river
250,TRUE,intercept,Snows cut,2:44,1/27/03,Yes,,,,,Yes,Yes,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Mojarra,Yes,1 to 3,1 to 3,About 1 portion,1-3 meals,Catch and release,,Fried,,"Remove scales,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat",Yes,"Dead fish, plastic trash",,Family or Friends,,,,,,,,No se,Yes,Yes,No,,Only on tv did they see that there’s a type of fish not to eat,Health Clinic,,,,Some fish may have more contaminants than others,,No,,,"Make the images bigger, combine the pages with fish to eat and not to",Yes,,,,,,,,,,,,,,,,,,,,21-29,Male,,Español,
289,TRUE,intercept,Princess place,2:30,11/22/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,Off,,Yes,1 to 3,1 to 3,About 1 portion,1-3 meals,Catch and release,,"Fried,Other (explain):",Flour and cornmeal in hot grease,"Remove scales,Remove head,Remove fish organs",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,Concerned but doesn’t know what to think.,,Other people that are fishing,,,,,,,,,No,,,,,,,,,Other ,Striped mullet run,Yes,,,"Should have periodic updates.
What does stop and check mean?",Yes,,,,,,,Probably not do,Probably not do,Definitely will do,Probably will do,Probably not do,Probably not do,,People will eat what they are going to eat,Same as above,,After the storm people knew not to eat,People prepare it how they are used to,"Unless something major happens, people will keep eating fish from the river and creek",50-59,Male,"Some college, no degree",English,What we’re doing is important for the environment and for the people. People only learn not to fish if people die. We need science to forewarn us.
339,TRUE,intercept,River road,4:15,11/22/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,"Red drum, speckled trout, whiting, croaker, Blue fish",Yes,0,0,About 2 portions,4-6 meals,Catch and release,,"Grilled,Baked,Smoked",,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat",Yes,Sometimes. Striped bass. No complaints about taste,,"Family or Friends,Other people that are fishing",,,,,,,,sea view,Yes,Yes,No,,Not really. Taste matters. If taste bad then not eat ,"Internet ,Family/Friends",,,I Intercostal waters. Mouth of river,"Some fish may have more contaminants than others,Other ",Stop and check,Yes,,,Nothing . Striped bass you can’t keep anyway,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Definitely not do,Definitely will do,Definitely not do,,,,,Likes fresh fish ,,,40-49,Male,"Some college, no degree",English,
376,TRUE,intercept,Brunswick,11:45,1/27/03,Yes,,,,,Yes,Yes,Off,Off,Off,Off,On,Off,On,Off,On,Off,Off,Off,On,Off,Off,Off,Off,,Yes,0,0,About 5 portions,1-3 meals,Catch and release,,"Grilled,Fried",,"Remove scales,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones),Other (explain):",Butterfly it and grill it with onions,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat",,,,Internet ,,,,,,,,Word. Mouth,Yes,No,No,,No beacuse he just cooks it well,"Internet ,Other",,Healthdept,,Some fish are safer to eat than others,,Yes,,,"Add crawfish, add croakers, add black drum and sheepshead",Yes,,,,,,,Probably not do,Probably will do,Probably will do,Probably will do,Probably will do,Definitely not do,,,,,,,People have been doing it their whole lives. You kill it you eat it,21-29,Male,"High school diploma, or equivalent (for example, GED)",English,Fillet on the card. Put it at bait shops and grocery stores. Also around Southport . Keep talking to people
416,TRUE,intercept,River road park,2:30,12/10/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Red drum, croaker, blue fish, gray fish",Yes,0,0,About 4 portions,1-3 meals,"Catch and release,Other",Cut up shad for bait,"Grilled,Fried,Other (explain):",Grill with wood chips,"Remove scales,Remove head,Remove fish organs",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",No,,Not concerned because doesn’t eat many fish. Bottom feeders are bad,"News ,Government ,Other ",,Carolina outdoor (tv program),,,Nc dept of wildlife,,fishing magazine available at store that sells licenses. Also people buy licenses online,Post at dock (behind glass),Yes,Yes,No,,No because going after particular fish that the signs don’t talk about,Other,,"Postings on dock, fishing magazine cautions",Roanoke rapids,Other ,"Interesting that striped bass is on there. Wouldn’t think high levels of mercury, disturbing to see blue crab. ",Yes,,,Write cape fear river on top more clearly,Yes,,,,,,,Probably not do,Probably not do,Probably not do,Probably will do,Probably not do,Neutral,,"Recent immigrants don’t yet understand regulations or what’s safe vs, not. Also maybe don’t care","Kingfish looked good. People don’t like shad or spot or bluegill. Shrimp is alright, so are specks.",People just do what’s easy.,,"Probably not, frying is easy","With enough warnings, though. Retain communities would not listen or bother",60 or older,Male,Bachelor degree,English,Glad we’re doing it
469,TRUE,intercept,Snows cut,4:30,12/11/20,Yes,,,,,Yes,Yes,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Spot, red drum, black drum, croaker, pig fish, sheepshead, blue fish, sand perch",Yes,6 or more,4 to 6,About 1 portion,1-3 meals,"Catch and release,Other","Share it, use for bait","Fried,Baked",,"Remove scales,Remove head,Remove fish organs",,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat",No,,I’m alright after drinking the genex for 30 years ,"News ,Other ",,,,,,,The internet,"Johnny Mercer pier, curry beach pier, state, signs or wallet, ",Yes,Yes,Yes,,,"Internet ,Other",,News,"Solomon towers, chamber of commerce, love grove","Some fish may have more contaminants than others,Other ",Don’t eat too many of the same ,Yes,Especially people that don’t know about mercury,,Include more brackish,Yes,,,,,,,Definitely not do,Probably will do,Probably will do,Probably will do,Probably will do,Definitely not do,,People have preferences for fish,,,,,No matter where they go there will still find fish from river,30-39,Male,"High school diploma, or equivalent (for example, GED)",English,Nope
508,TRUE,intercept,Belleville Park,10:11,11/23/20,Yes,,,,,Yes,Yes,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Speckled trout, black drum",Yes,0,0,About 2 portions,1-3 meals,Catch and release,,"Grilled,Other (explain):",Already spiced with genes,"Remove scales,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones),Other (explain):",Every once in a while pan fry whole fish no head,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs",Yes,Very aware of pollution. Concerned that government allows corporations to get away with it.,,"News ,Internet ,Other ",,,,,,,,Online is good,Yes,,Yes,Coming from New York you only want to eat one fish a month. Still learning down here. Thinks it’s pretty bad here ,,Internet ,,,,"Some fish are safer to eat than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,Yes,,,,Yes,,,,,,,Neutral,Probably will do,Probably will do,Probably will do,Neutral,Neutral,,,,,,People like their cooking methods,,60 or older,Male,Associate degree,English,Good work
542,TRUE,intercept,Carolina beach sp,4:30,11/23/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Flounder, speckled trout, red drum, black drum",No,,,About 2 portions,1-3 meals,Catch and release,,"Fried,Smoked",,"Remove scales,Remove skin",,"Back Meat,Tail Meat,Belly Meat",No,,Don’t buy into it.,"Other people that are fishing,Internet ",,,,,,,,Bait shop,Yes,Yes,No,,Don’t read a whole lot of it,Health Clinic,,,,Other ,Good public advisory ,Yes,,,,Yes,,,,,,,Probably will do,Definitely will do,Definitely will do,Definitely will do,Definitely will do,Probably not do,,,,,,,,50-59,Male,,English,
594,TRUE,intercept,Snows cut,3:45,12/11/20,Yes,,,,,Yes,Yes,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Black drum, red drum, sheepshead, flounder",Yes,0,6 or more,About 1 portion,1-3 meals,Catch and release,,"Fried,Baked",,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat",Yes,,,News ,,,,,,,,Bait shops,No,,,,,,,,Snows cut,Some fish are safer to eat than others,,Yes,,,Post more of it around the river. ,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Probably will do,Definitely will do,Definitely not do,,,,,,,Good source of food,60 or older,Female,"High school diploma, or equivalent (for example, GED)",English ,
626,TRUE,intercept,Brunswick river,3:02,1/25/20,Yes,,,,,Yes,Yes,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,Yes,0,1 to 3,About 2 portions,1-3 meals,Catch and release,,Fried,,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat",Yes,"Trash, and oil",,"News ,Internet ",,,,,,,,Facebook follow cape fear river watch,No,,,,,,,,Black river,Other ,Saltwater fish safe to eat except catch fish. Catfish everyone knows have lots of mercury,Yes,,,"For the stop and check fish what to look for, what are the high contaminants?",Yes,,,,,,,Probably will do,Probably will do,Probably will do,Probably will do,Probably will do,Definitely not do,,,,,,,Way of life,30-39,Male,"High school diploma, or equivalent (for example, GED)",English,"Glad there’s people out here working in the environment, being outside is my favorite thing to do, we have to take care of it."
24,TRUE,intercept,River road park,3:26,1/19/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Speckled trout, red drum",No,,,About 2 portions,1-3 meals,Catch and release,,Fried,,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat",Yes,Genex,,"News ,Schools ",,,,,,,,"YouTube, fishbrain",No,,,,,,,,,"Some fish may have more contaminants than others,Some fish are safer to eat than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,No,,Upon getting info don’t need card,,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Definitely will do,Probably will do,Definitely will do,,,,,,,,18-20,Male,"High school diploma, or equivalent (for example, GED)",English,
28,FALSE,intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FALSE,intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,FALSE,intercept,Redneck,10:00,2/10/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2238,TRUE,intercept,River road,11:38,2/22/20,Yes,,,,,Yes,Yes,On,Off,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,,Yes,,1 to 3,About 3 portions,1-3 meals,Catch and release,,Fried,,"Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat",Yes,"Worried about shit pumping plants, dumping raw sewage. Smith creek Hewlett-Packard creek. ",,"Other people that are fishing,Bait and Fishing Shops ,News ,Internet ",,"Morningstar, google for waste entering smith creek",,,,,,Talk to people,No,,,,,,,,Eagle island bait shop on 421. Talk to people there,Other ,The safest ones are saltymp,Yes,For people not from around here this would be useful.,,"Get more freshwater fish on there
Get crappie on there
Get flounder on there opening in next few months?",Yes,,,,,,,Definitely will do,Probably will do,Probably not do,Probably will do,Probably not do,,,,,,,Don’t think you can cook pollutants out,If it’s bad enough. People stopped fishing at smith creek,40-49,Male,"Some college, no degree",English,
1646,TRUE,intercept,Snows cut,2:10,2/23/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,"Black drum, red drum, Red snapper, Speckled trout, Spot, Croaker, Sheepshead",Yes,0,6 or more,About 3 portions,More than 9 meals,Other,Give away free. Neighbors family friends. ,"Fried,Baked",,"Remove scales,Remove head,Remove fish organs",,"Back Meat,Tail Meat,Abdomen Meat",Yes,Water quality pollution concerns. ,,Other ,,,,,,,Trust yourself. Experience. ,Personal experience to get info. ,No,,,,,,,,,Other ,Freshwater. Comment on blue crabs. ,Yes,If they don’t know. Experienced angler should know what to eat. ,,Freshwater fish not as applicable.,Yes,,,,,,,Probably not do,Probably not do,Probably will do,Definitely not do,Definitely not do,Probably not do,,,,,Fresh fish preference. ,,,60 or older,Male,"High school diploma, or equivalent (for example, GED)",English,Everything messed up. Man has dominion over the earth. Water color has changed. 
